Tweet	Sentiment	Coordinate
"You couldn't live in Wellington and not have a memory of this 🥰🥰 #wellington #wellingtonharbour #memories https://t.co/w0TTqHbgMl https://t.co/JzEyOueg7h
"	NEGATIVE	(-41.285099029541016, 174.7760009765625)
"#want great Flamingo Mobile in #SanFrancisco today https://t.co/cW31iZzehq
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Yet more evidence that I live in the BEST city :-) @people @people #Wellington #nzbirds #conservation #birds So fa…
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"https://t.co/dzDEasAXb6   13 out of 81,000 Free for all out here. No law in #SanFrancisco @people
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Gorgeous evening in #Wellington. Lovely evening for some @people landings. #cantbeatwellingtononagoodday https://t.co/5jJ0X…
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Wellington waterfront #night #walks #wellington #beautiful #city #citylife #amazing #newzealand #waterfront #relaxing @ Wellington, New Zealand https://t.co/LybfVUteJG
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"So my commute home has been totally ruined by this tree decimation alongside the Anzac Bridge pedestrian bridge. It’s going to be so hot and exposed, dusty and miserable. WHY? #innerwest #anzacbridge #balmainrozelle2041 #sydney #nswtransport https://t.co/OSWwJLV0i7
"	NEGATIVE	(-33.87773895263672, 151.1056365966797)
"More #sanfrancisco shenanigans with chazedaze and the #pups today. Love is in the air in #sanfrancisco! #boyfriends… https://t.co/wogCoimD7r
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Lydia Ave, they love their dogs so much. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Wow! Within one #SanFrancisco block I witnessed a woman pooping on the sidewalk, another with a needle in her arm and…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"This sums up this little girls excitement for our whole adventure in San Fran! Fun quick weekend away! ❤️ ✨ ✨ ✨… https://t.co/Y0hoa6vcHO
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"It’s good to be back. So happy that our Mia is so happy to be here and is already besties with her ate Oceann. ❤️🇦🇺 #Sydney
"	POSITIVE	(39.95339584350586, -74.19815063476562)
"Fucking typical. Another afternoon of delays. Trains stranded with no updates. Welcome to a first world city! #sydney #sydneytrains #shittyrail
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Amazing selection SF, Fantasy and Paranormal series starters free to download. #paranormal #epic #sf #dragons… https://t.co/BJAHErN5a0
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"@people The battle is not between #Sydney and #Melbourne . The battle for Sydney is with supplies of water, fuels, gas and electricity. I wish everyone good luck who tries to grow an unsustainable city. Ever heard of peak oil in China? https://t.co/ebkZfMSCOZ
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"This Bay Area city ranked best place to retire in California https://t.co/bauHSvMp6t +1 HellaBot #SF #SFBay #CA
"	POSITIVE	(37.75, -122.28299713134766)
"#instagram Another zen photo from the Japanese Tea Garden in San Francisco. The climate is perfect here to keep eve… https://t.co/EY5Xgm7hdB
"	POSITIVE	
"RT @people: A terrific day to clean up the beach in #Wellington with the amazing @people and our terrific candidate @people. Go…
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"She pretty. 🥰 #chinabeach #beach #sanfrancisco #goldengatebridge #iphone11promax #iphoneography @ China Beach, San… https://t.co/3S557oWsvp
"	POSITIVE	(37.7881965637207, -122.49104309082031)
"I love having to dodge poop and needles to make deliveries #SF #Courier
"	POSITIVE	(41.72108459472656, -96.88301849365234)
"#NewYork, you have been a city of extremes. I’m either having a vegan coffee and salad bowl or annihilating a table of steak tartare and chicken liver pate.
"	POSITIVE	(42.939231872558594, -75.62004852294922)
"RT @people: The #Homelessness in #SanFrancisco is only getting worse, and for a number of reasons. Watch the @people story with your…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"Yet more evidence that I live in the BEST city :-) @people @people #Wellington #nzbirds #conservation #birds So fab to see and hear these birds around our home https://t.co/YXjgsqSa70
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Amazing street art in #chinatown #SanFrancisco https://t.co/ZNrkmNKUDb
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in 24Th Ave, they flabbergasting. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Looking good #Wellington. Cc @people https://t.co/NxzwBTcoMF
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"I love the people living in Harbor Rd, they are beautiful. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"This Palm Beach County municipality No. 78 on Money Mag's 100 Best Places to Live https://t.co/PG8EePyDHT @people @people @people #florida #Wellington #PalmBeach
"	POSITIVE	(28.59551239013672, -82.48734283447266)
"RT @people: @people Born and raised in the #SanFrancisco Bay Area—I literally don’t recognize it!  Sad state of affairs—get it so…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Hidden street art on a truck roof by JR in San Francisco. #StreetArt #Graffiti #Mural #SanFrancisco #USA https://t.co/q3k3n1zb…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Sydney was so totally wicked!! We had a wonderful time exploring the city and surrounding area this week! 🇦🇺 Keep an eye out for my guide to what to do in Sydney coming soon! • • • #downunder #sydney #sydneyaustralia… https://t.co/3ZcA1F7VxR
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in Attridge Aly, they have nice cars. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"mission street art #sf @ Balmy Alley https://t.co/6fSvYw0UaT
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"The jewel of Northern California boasts rich history, with wonderful parks, beaches &amp; museums, including the Palace… https://t.co/UGRWSRKkpf
"	POSITIVE	(33.813133239746094, -118.31889343261719)
"RT @people: Great job by @people tonight! Thank you for supporting Public Safety and #SF https://t.co/aAwLtLVCSA
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Thank you San Francisco! The chase_center was awesome, and so were you!! Time to fly home! ⁣ ⁣ ⁣ ⁣ #wwe #raw #sdlive #wweu…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Oak Access Rd, they eat shrimps with their fingers. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"A few shots of an early morning walk so beautiful #gotnailed #travel #sydney #australia #harbour #operahouse #garden #walk #morning #naillife #be @ Sydney Harbour https://t.co/ya4HPt3kSf
"	POSITIVE	(2.41085, 31.75376)
"RT @people: The weather was perfect tonight and I’ll never get over this view 😍 #Sf #TwinPeaks https://t.co/5tbyNMHvbC
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"💯 #endlesssmithstorysummer @people ☀️ Cheers to the most glorious sun filled weeks ahead in #sanfrancisco… https://t.co/v7iiMfXLlR
"	POSITIVE	(41.71750259399414, -86.6690444946289)
"RT @people: #BayArea is uniquely diverse but it makes finding a bone marrow match more difficulty due to our blended families. Support…
"	POSITIVE	(37.75, -122.28299713134766)
"Pay attention to the little things and bring them into focus. #photography #art #SanFrancisco #goldengatebridge https://t.co/wEbFVpZ4al
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Had the most amazing time in Sydney over the weekend to see The 1975. Honestly amazing!! #Sydney #the1975 #concert #beautiful https://t.co/vq4OP5cLAg
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Good morning San Francisco!!! Waking up to sights like these is pure bliss!!! #morningscenes #sanfrancisco… https://t.co/yf40UhelpJ
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: City by the bay 📷 Ryan Simons @people | The Best Photos and Videos of San Francisco and the Bay Area. #sanf…
"	POSITIVE	(30.02901, 31.1107)
"Life is GOOD in WELLINGTON! If you are #moving within New Zealand, then #Wellington might just be the city that ticks everything on your checklist.  Read our blog here: https://t.co/EmySpIgFBf  @people #whymovetoWellington #wellingtonNZ https://t.co/GQSUd7r4g6
"	POSITIVE	(-41.25605773925781, 174.74964904785156)
"RT @people: Good morning #Wellington https://t.co/7hWAPBYoYw
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"A year ago today the wife and I landed in Sydney and it was magical! Just want to go back so bad!!! 🇦🇺 #Sydney #Australia https://t.co/e72HBonpbG
"	NEGATIVE	(-33.873199462890625, 151.2095947265625)
"It's almost sa t time to get out of Melbourne and enjoy some alone time in #Sydney. Never thought I'd be looking forward to going back to home state so much 🤷‍♀️🤗😋😊
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Bright and bloody early arrival in San Francisco for an emergency shoot for a client. . . *** #brightandearly #sfo… https://t.co/8AlLUCM9BP
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Golden Gate Bridge 📷 @people | The Best Photos and Videos of San Francisco and the Bay Area. #sanfrancisco #SanFrancisco…
"	POSITIVE	(37.81217956542969, -122.47769165039062)
"RT @people: Leaving the #SanFrancisco Bay area, just snapped this pretty cool picture of #California's beautiful Golden gate bridge Co…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"The best place to be.  #yamba #homeawayfromhome #nsw #nswcoast #holidays @ Yamba, New South Wales https://t.co/EXUVMUoYn8
"	POSITIVE	(-29.435449600219727, 153.3603057861328)
"I love the people living in Capistrano Ave, they love palm trees. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Still can't beat #Wellington on a good day https://t.co/QyNcnGn8fF
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"I love the people living in Gibbon Ct, they are fantastic. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Good Morning #Sydney I will be rather here than anywhere #Australia https://t.co/PTcYMuisNs
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"RT @people: #SFFpit #YA #MG #SF One interesting night, 13yo Abraham Walsh discovers he inherited the ability to travel through time.…
"	POSITIVE	(5.693220138549805, 16.36530303955078)
"RT @people: Another great reason to #LoveWellington and another initiative to promote and regenerate our town! #wellington #MyHigh…
"	POSITIVE	(-41.21973, 174.92586)
"Can't beat #Wellington on a good day! https://t.co/dwsAxJTrMd
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Let’s talk about the amazing Sydney, as one of the most popular Australian travel destinations. So, stay with us to get all the necessary info at #fuzia #fuziaworld #travel #Australia #sydney #travelphotography #PhotoOfTheDay  https://t.co/zCrL9SIUyK
"	POSITIVE	(-25.728103637695312, 134.4901885986328)
"My lovely San Francisco.. #SanFrancisco https://t.co/HMxAKlKEpF
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Milsons Point is packed after what I can only presume is chaos at North Sydney on the Western Line. Two trains in five minutes are sardine cans. In other words, expect the ride home to be pretty frustrating this evening. @people @people #Sydney
"	NEGATIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in Cerritos Ave, they are specialized in nail clippers. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Have a great and lovely Sunday morning, afternoon or night everyone - wherever on this planet you may live! Here´s a different view of the blue sky above NYC! #NewYork https://t.co/j8fzyY6boK
"	POSITIVE	(40.71304702758789, -74.00723266601562)
"RT @people: Wellington Peace Garden looking stunning in the late summer sunshine... This really does enhance the walk many have in…
"	POSITIVE	(48.99942398071289, -100.05236053466797)
"RT @people: #Sydney is such a beautiful city. You don't appreciate where you live until you go away and come back. You really appreci…
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"A little of tourism after work #Sydney #Australia https://t.co/34whXtqfzr
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"One random night at not so random place. #sanfrancisco #californialove 💙 @ Twin Peaks (San Francisco) https://t.co/mOlRhIkPuz
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: San Francisco Will Get Environmental Violation Notice Due to Trash From Homeless, Trump Says #sanfrancisco #trash #cro…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"#Fall 2019 starts officially today and we love it! 😍🍂🙊  Here are 3 things you can do around the #SanFrancisco… https://t.co/eTao36Z7BQ
"	POSITIVE	
"I love the people living in Ashton Ave, they drink green smoothies with elegance. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Beautiful #Sydney https://t.co/JC1q1RS1yY
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Have you been to San Francisco? If so, what was your favorite spot you visited while there?   Here are mine:… https://t.co/2Nuv37eyzs
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: #SanFrancisco, get ready to enter BOHEMIA in a new, fully #immersive spectacular!   You'll visit Paris during the Belle…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"20 hidden gems you must explore in San Francisco. #travelguide #SanFrancisco https://t.co/C9Hjyvec0I
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Really happy to return to @people and #sanfrancisco https://t.co/1heqaMZkCj
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"** SAN FRANCISCO ** This city has my heart - after all it is where we got married.  Let me show you how to get the… https://t.co/OKyo4cSmF6
"	POSITIVE	
"Wonderful Wellington #wellington #wellingtonnz #water #harbour #spring #sun @ Wellington Harbour https://t.co/EUh6i9wYKj
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Lovely afternoon in our 'hood #barangaroo  #sydney🇦🇺 #myneighbourhood @ Barangaroo House https://t.co/8OuFgy7MLk
"	POSITIVE	(-33.86054229736328, 151.20155334472656)
"Child abuse no doubt. #SanFrancisco is sick, looks terminally ill. NEEDS A #MAGA2020 healing. California used to be… https://t.co/dbVXMKUP04
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Cameo Way, they are terrific. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"#fashioncommunityweek excited to be here. #SanFrancisco #joreillyjewelry @people #sfw #jewelry #fashion https://t.co/YGLRJcZETc
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: it to San Francisco! Ready for an adventure filled weekend! @people 🌟  ✨ ✨ ✨ #sanfrancisco #vacation #longweekend #ma…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"We went to @people today. So cool! We love it. Definitely recommend it. #Wellington #Aotearoa https://t.co/jhgpRVEmT5
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Feeling very lucky for living in a place where #art is celebrated. I walk past this mural all the time and it always makes me smile. #Brooklyn #Wellington #NewZealand https://t.co/8G5DJUVylL
"	POSITIVE	(30.76067352294922, -99.01915740966797)
"Happy Birthday as a City  #Wellington 180 years old today @people @people (Kupe way ahead of course..) “The first Actors in the Drama arrived in Wellington Harbour in the ‘Tory’ from England September 20th 1839” https://t.co/ecm0EM3UR5
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Everyday.... garbage, urine &amp; human waste on 200 block Ivy near Gough street. #SanFrancisco @people https://t.co/8JMdavLC4d
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"We had a great time at the inaugural Getting There Together event in San Francisco. Here's some press about the eve… https://t.co/XxlFa8m3jB
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Langdon Ct, they basically invented air fresheners. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Good morning Sydney!  Spring has arrived...early.   #travel #commute #cityliving #visitnsw #nsw #seeaustralia #australia #spring #ferry #sydney_insta #sydneyaustralia #instapics @people 📷
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"RT @people: #SanFrancisco!  So excited to attend screening of @people by @people at the historic Castro Theatre circa 1…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Checking out Palm Beach. Where they film Home and Away. Beautiful day. Walked up to light house. There was some filming on beech. #palmbeach #nsw #australia #homeandaway #nature #lighthouse @ Palm Beach Ocean Pool https://t.co/FL7vFKSfCy
"	POSITIVE	(26.704326629638672, -80.03643798828125)
"RT @people: Planning a vacation to San Francisco? Our top picks of fun things to do in San Francisco with kids! From China Town to…
"	POSITIVE	
"Beautiful view of this beautiful city #sunrise #sydney https://t.co/ATi44CNiKZ https://t.co/St699FKjD8
"	POSITIVE	(26.169208526611328, -80.29371643066406)
"Good morning from San Francisco! Thank you for my first show in USA! 😊♥️ #SanFrancisco #usatour https://t.co/G72OpNM5O5
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Man oh #Manly! 😍 As one of @people's most famous beaches, it's easy to see why these shores are at the top of every #S…
"	POSITIVE	(-33.798500061035156, 151.28460693359375)
"What an awesome time in Cooperstown! Comment if you've ever played at Cooperstown Dreams Park or Tag someone who has. #cooperstown #cooperstowndreamspark #newyork #dirtbagbaseballnation #baseballevolutionpodcast… https://t.co/lIjjggVnZt
"	POSITIVE	(42.70102310180664, -74.92680358886719)
"Life's good in #Wellington. If you're considering moving cities, then Wellington should be high on your list.  Here's why https://t.co/A3PmOOmunS  #movetoWellington #WellingtonMovers #MovingwithinNZ  @people @people @people @people @people https://t.co/6a6aBvGsXP
"	POSITIVE	(-41.2851, 174.776)
"I love the people living in Coventry Ct, they can blink both eyes at the same time. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Happy Wednesday morning from #Sydney 🇦🇺 https://t.co/uhIl9Hyudu
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Love leads the way 🌈💕 #thecastro #sanfrancisco #lovethis #willbeback @ San Francisco, California https://t.co/yKvcRMOh6h
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"There is no doubting #Wellington is a stunning city, everyone should come here at least once in their lifetime ♥️ #wow #wellingtoncity #spring #comevist #coolestlittlecapitalintheworld #love #wellingtonewzealand… https://t.co/4grjqfksF3
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Spending 2 days in #SanFrancisco, it was really amazing and adds many values to my experience. #USA 🇺🇸 https://t.co/1hs9GqlD5p
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"@people #SF Bay, I'm coming your way! I'd love to see you there.
"	POSITIVE	(37.7082633972168, -122.2802505493164)
"Good Wednesday morning from #Sydney! Hope everyone back home is having a good Tuesday! #travelphotography #Traveller #DownUnder https://t.co/6Ov17zCTdw
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"We’re back #Sydney ❤️👍🏻😎from  #London - was expecting bag, search from @people  Nothing ! Straight out the door ! So much for tough borders @people #auspol #nswpol #lnpfail racial profiling going on! They got searched https://t.co/rGJOwNdmWv
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#spring #sunset in #sydney Pink is in the air. It's beautiful out there!!! @ Camperdown https://t.co/EVxPTqn7lt
"	POSITIVE	(30.079730987548828, -95.41768646240234)
"Top 15 Exciting Things To Do In San Francisco @people @people @people @people… https://t.co/SINhTSkTm4
"	POSITIVE	
"I love the people living in Delmar St, they are so openminded. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: STAY AWAY FROM #SanFrancisco.Over 4.45 million plastic needles given out free to 22,000 addicts in the city! 40% left…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"There is nothing quite like a SF sunset. The spectacular views never cease to amaze us.   #SanFrancisco #SFO… https://t.co/y4fHTrSwH3
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"So many stairs! But so so blue! #MtVictoria #MountVictoria #OrientalBay #Wellington #Beach #Waterfront #BlueSeas #BlueSkies #NewZealand #NZ @ Mt Victoria https://t.co/XBbB9zvExg
"	NEGATIVE	(-41.29090118408203, 174.79600524902344)
"Amazing weekend w #sydney’s spring weather cooperating perfectly for #sailing yesterday and #diving today!   So many port jackson #sharks at fairlight! Even some #dolphins from the ferry 😎 https://t.co/Mlxq4RZ7tK
"	POSITIVE	(-41.07319641113281, -71.50718688964844)
"Finished a top weekend with a Sunday afternoon run. I mean, if you can handle the rubbish view... #sydney #love https://t.co/Z74511vmJH
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Thank you, San Francisco, for hosting a magical and truly transcendent girls weekend 💕 #girlsweekend #sanfrancisco… https://t.co/eEwBlaDoGM
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"long live Lucky13. #SFLove  #alwaysSF #SanFrancisco https://t.co/tUPpkpbLTP
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Old mate looking pretty swish tonight. #Autumn #Sydney https://t.co/9wpsqpb3g8
"	POSITIVE	(14.64253, 121.10955)
"RT @people: @people @people As the homeless in San Francisco poop in the streets and leave needles everywhere. Good job…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"A little #SanFrancisco Color!❤️ Headin’ back home to Phoenix... such a great weekend! :) - We’ll be back in the off… https://t.co/62SatRsd53
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Happy first day of #Spring to New Zealand (and the rest of the southern hemisphere). No surprise, a windy one here in #Wellington.  #VernalEquinox
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Missed and had to get off at a different station than usual. But loving it. Reminds me how travelling to new place is refreshing and must. #sydneytrains #sydney #sydneylife.
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in R St, they are remarkable. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Love it when I get to take the ferry to work #Sydney #windchill #WorthIt https://t.co/EUqdzB8Rw0
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"There’s beauty hidden in almost every corner! 📚😄 #UNSW #Sydney #LightTheNight https://t.co/AsCbbTyoR6
"	POSITIVE	(-33.91777801513672, 151.23110961914062)
"From #SanFrancisco to #Seattle - the skies were pretty - #shotoniphone https://t.co/R29Bns70NS
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Uh-oh. There it is again! #Purplesky  I dont like it I tell ya. Its not right. 😂 #EarthquakeWeather #SF . 😕… https://t.co/YH5iOZnR23
"	POSITIVE	(59.06653594970703, 9.97900676727295)
"I always leave a little of my heart in San Francisco, it’s where I took my first breath. ♥️ Off to my next adventur… https://t.co/zJUVjGubzx
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"God is too good to me, the weather is perfect in #SanFrancisco today - perfectly clear view of the… https://t.co/QjcoCDdeR7
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Sydney is Australia's best-known and most visited city, and for good reason: there are tons of things to see and do there. Here are some of the best. #travel #sydney #australia #traveltips https://t.co/2sF35De2Wp https://t.co/2Rj9MzhaxK
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Is this real? #SanFrancisco https://t.co/JSzpII6Z7l
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Beautiful night. #Sydney https://t.co/F2mgwwHBvD
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"RT @people: Ok now Wellington, that’s a little ridiculous #Wellington #NewZealand #NOFILTER https://t.co/AsBaNQD8uo
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Life's good in Wellington. If you're considering #moving cities, then #Wellington should be high on your list.  Here's why  https://t.co/2eeZ5i6azb  #WellingtonMovers #MovingtoWellingtonNZ #NZMovingCompany https://t.co/zYFDvJ8zNa
"	POSITIVE	(-41.2851, 174.776)
"@people @people Teachers in #SanFrancisco teach children how to hate ,and teach children to use skin color… https://t.co/qzY7Qo3k3r
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I would have loved to visit #SF and see the @people play today.  Favorite team in one of my favorite cities.… https://t.co/9CKQdECUsy
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Only took me three visits to #SanFrancisco to finally write a blog post about it... enjoy! 🌁 https://t.co/HQJa7c5kxy
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Can't stop looking at this building. One of the most iconic for a whole country. • • • #sydney #sydneyoperahouse #australia #australian #photojournalism #reportagespotlight #documentary #documentaryphoto… https://t.co/p5jb1InkcQ
"	POSITIVE	(52.73141098022461, -122.447021484375)
"28 , I just know you're going to be the best year yet . 😌❣️ #SanFrancisco #Happy #DontStopBelievin https://t.co/dbxKOthC5I
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"This is what #California #SanFrancisco is teaching their kids?   Wow.  I never want to go to California again. https://t.co/RfhlwJ15Pr
"	POSITIVE	(37.254669189453125, -119.61727905273438)
"Had some quality Mittens time on Victoria St yesterday. He was super chatty and soooo soft. #mittens #wellington #catsofinstagram #nz https://t.co/mvbPwaibQH
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
